rotation_angle	starting_pitch	ending_pitch
left_50	147.15	150.98	5_0.7
left_150	150.98	160.82	5_0.5
left_100	160.82	169.55	5_0.7
left_50	169.55	171.92	5_0.7
left_100	171.92	177.66	5_0.7
left_50	177.66	180.10	5_0.7
left_50	180.10	182.01	5_0.7
left_50	182.01	183.98	5_0.7
left_50	183.98	185.85	5_0.7
left_50	185.85	189.66	5_0.7
left_50	189.66	192.90	5_0.7
left_50	192.90	196.07	5_0.7


left_50	187.16	188.67	5_0.7
left_50	188.67	192.36	5_0.7
left_50	192.36	196.02	5_0.7
left_50	196.02	198.84	5_0.7
left_50	198.84	201.92	5_0.7
left_50	201.92	205.05	5_0.7
left_50	205.05	208.50	5_0.7
left_50	208.50	212.99	5_0.7
left_50	212.99	216.41	5_0.7
left_50	216.41	220.02	5_0.7
left_50	220.02	222.97	5_0.7
left_50	222.97	225.50	5_0.7

